# wavelength, S, M, L
4.000000000000000000e+02,5.735881154240993901e-02,3.889127656582528833e-03,3.649617310926634231e-03
4.010000000000000000e+02,6.741811390080000577e-02,4.499834342082625546e-03,4.215706184561868880e-03
4.020000000000000000e+02,7.897677122571963859e-02,5.192537728949508068e-03,4.854499803439041826e-03
4.030000000000000000e+02,9.216331157277471431e-02,5.973212783532601093e-03,5.570142725614615417e-03
4.040000000000000000e+02,1.070883523342780752e-01,6.846808362815190452e-03,6.365504136695666199e-03
4.050000000000000000e+02,1.238344104047189448e-01,7.816765890971190747e-03,7.241713491891751606e-03
4.060000000000000000e+02,1.424540329564075725e-01,8.885089296338879311e-03,8.198224215707065540e-03
4.070000000000000000e+02,1.629790175080220171e-01,1.005308358707374464e-02,9.233503251347453811e-03
4.080000000000000000e+02,1.854177300940623718e-01,1.132130709069166345e-02,1.034499568260832322e-02
4.090000000000000000e+02,2.097163764275178921e-01,1.268733542109398704e-02,1.152711288061794397e-02
4.100000000000000000e+02,2.357782032075491641e-01,1.414709718363396825e-02,1.277253339213836603e-02
4.110000000000000000e+02,2.634533160089009285e-01,1.569435165159742407e-02,1.407181696615136986e-02
4.120000000000000000e+02,2.926177294947246987e-01,1.732543121845540532e-02,1.541774373339987146e-02
4.130000000000000000e+02,3.231264738994172325e-01,1.903637137469070886e-02,1.680275093519692162e-02
4.140000000000000000e+02,3.548191875761646519e-01,2.082321156622954708e-02,1.821926307615320470e-02
4.150000000000000000e+02,3.875089380786344018e-01,2.268128756701811438e-02,1.965913991112453948e-02
4.160000000000000000e+02,4.209626224128690253e-01,2.460402053561958763e-02,2.111273270090827797e-02
4.170000000000000000e+02,4.546885869135990355e-01,2.657379354154526530e-02,2.256129555479862922e-02
4.180000000000000000e+02,4.879600644159868827e-01,2.856666340877052346e-02,2.398154434842258639e-02
4.190000000000000000e+02,5.205854445375446282e-01,3.055427009686175963e-02,2.534767256274864447e-02
4.200000000000000000e+02,5.518833458561036576e-01,3.250178135303471993e-02,2.663002340024966594e-02
4.210000000000000000e+02,5.811604704826671686e-01,3.438429193780562221e-02,2.780881974984444546e-02
4.220000000000000000e+02,6.082490257853087057e-01,3.622128272597736204e-02,2.890123719765736246e-02
4.230000000000000000e+02,6.339193662198222556e-01,3.804870048071212763e-02,2.993703086395919574e-02
4.240000000000000000e+02,6.588977900540404775e-01,3.991699178723323582e-02,3.095602093710129663e-02
4.250000000000000000e+02,6.840018795778455285e-01,4.188376704863790850e-02,3.200158110217381224e-02
4.260000000000000000e+02,7.100110567044849441e-01,4.400680987714911119e-02,3.311489740870319359e-02
4.270000000000000000e+02,7.366554971042941213e-01,4.628122534206899341e-02,3.428836230214954428e-02
4.280000000000000000e+02,7.633922762407249207e-01,4.868482234888438925e-02,3.550233365356760679e-02
4.290000000000000000e+02,7.896363934360128845e-01,5.119146178819301840e-02,3.673576305006157061e-02
4.300000000000000000e+02,8.146184400893123900e-01,5.376091327267509129e-02,3.795928258428266783e-02
4.310000000000000000e+02,8.377803597554643877e-01,5.636370325688087185e-02,3.915325984664017045e-02
4.320000000000000000e+02,8.593215286089380678e-01,5.901923127830516896e-02,4.033317834035120286e-02
4.330000000000000000e+02,8.796118224175979439e-01,6.175967200997163620e-02,4.152258510357065280e-02
4.340000000000000000e+02,8.991581506378967248e-01,6.462924615989984467e-02,4.275192648033459414e-02
4.350000000000000000e+02,9.185020548465314683e-01,6.767843421021416117e-02,4.405420071889195460e-02
4.360000000000000000e+02,9.379552048697964439e-01,7.094508815848413197e-02,4.545264486988329078e-02
4.370000000000000000e+02,9.566661824629377753e-01,7.438036816907156457e-02,4.691479899202560810e-02
4.380000000000000000e+02,9.734487372746802869e-01,7.790242556683617259e-02,4.839013228023051477e-02
4.390000000000000000e+02,9.870692190059108251e-01,8.141467609111276149e-02,4.982255818953566784e-02
4.400000000000000000e+02,9.962332869034573601e-01,8.480192236442800346e-02,5.114840340181744244e-02
4.410000000000000000e+02,1.000000000000000000e+00,8.796342395955508708e-02,5.231642728030534012e-02
4.420000000000000000e+02,9.989427384410057842e-01,9.092099567808233085e-02,5.335014192417095874e-02
4.430000000000000000e+02,9.940735021324674792e-01,9.373984143574694283e-02,5.429684615007757814e-02
4.440000000000000000e+02,9.864359918370307900e-01,9.649722077638581141e-02,5.520820414315569941e-02
4.450000000000000000e+02,9.770494961657737454e-01,9.927933561059271161e-02,5.613833831636630411e-02
4.460000000000000000e+02,9.667311898056170083e-01,1.021644228231083085e-01,5.713441923601408901e-02
4.470000000000000000e+02,9.553449416949266748e-01,1.051383203447965042e-01,5.819053588066957355e-02
4.480000000000000000e+02,9.425911104110820116e-01,1.081651054141035406e-01,5.928921604517817939e-02
4.490000000000000000e+02,9.281496577697154748e-01,1.111995272586128736e-01,6.040864171076927580e-02
4.500000000000000000e+02,9.117938425440537120e-01,1.141993788074693594e-01,6.152935942956390403e-02
4.510000000000000000e+02,8.934109786467520076e-01,1.171293190602432782e-01,6.263606555080900029e-02
4.520000000000000000e+02,8.734006163634165931e-01,1.200176870636808779e-01,6.374748281607843514e-02
4.530000000000000000e+02,8.523039355536339290e-01,1.229192730888806206e-01,6.489554823687307405e-02
4.540000000000000000e+02,8.305870365409770972e-01,1.258890087299237848e-01,6.611135212193304522e-02
4.550000000000000000e+02,8.086973543814267584e-01,1.289904085786043042e-01,6.742977458288010317e-02
4.560000000000000000e+02,7.870411471078738730e-01,1.322933880180266197e-01,6.888847749978693757e-02
4.570000000000000000e+02,7.659131931138746241e-01,1.358626182917507808e-01,7.052204199815489960e-02
4.580000000000000000e+02,7.455940474950247809e-01,1.397731008846622991e-01,7.237030964178584047e-02
4.590000000000000000e+02,7.263336722579714078e-01,1.441087330606611594e-01,7.447780014240543145e-02
4.600000000000000000e+02,7.083551005195209971e-01,1.489642338912314790e-01,7.689490498045391254e-02
4.610000000000000000e+02,6.917154713481981076e-01,1.544156310534587351e-01,7.966288275341040781e-02
4.620000000000000000e+02,6.758596499324702744e-01,1.604062146888223239e-01,8.275527108573187129e-02
4.630000000000000000e+02,6.602063019689711210e-01,1.668497267367512749e-01,8.613112244982057408e-02
4.640000000000000000e+02,6.441830131081229815e-01,1.736314705570234651e-01,8.973526584087083979e-02
4.650000000000000000e+02,6.272904162560842822e-01,1.806195709727630161e-01,9.350372208113572059e-02
4.660000000000000000e+02,6.091893957983566255e-01,1.876894582865544225e-01,9.737596577108798002e-02
4.670000000000000000e+02,5.899242367878164695e-01,1.948047062458062029e-01,1.013366681410932807e-01
4.680000000000000000e+02,5.696759830180401218e-01,2.019666854924567212e-01,1.053898288257230087e-01
4.690000000000000000e+02,5.486011664558486656e-01,2.091690585763092691e-01,1.095352143849323001e-01
4.700000000000000000e+02,5.268707694036099953e-01,2.164111598840937900e-01,1.137753215717272753e-01
4.710000000000000000e+02,5.046307255365876099e-01,2.236834557257284806e-01,1.181077569256332865e-01
4.720000000000000000e+02,4.819605907659694766e-01,2.309446680708644728e-01,1.225129962543394652e-01
4.730000000000000000e+02,4.589508858792166746e-01,2.381497327182538482e-01,1.269688562035684865e-01
4.740000000000000000e+02,4.356713511257173099e-01,2.452329858602931845e-01,1.314413621514044228e-01
4.750000000000000000e+02,4.122340947613521989e-01,2.521408188253398963e-01,1.359019738357540585e-01
4.760000000000000000e+02,3.887655188966239184e-01,2.588225208132474142e-01,1.403227213613503499e-01
4.770000000000000000e+02,3.654602205003618653e-01,2.652741995770934169e-01,1.447001500837160337e-01
4.780000000000000000e+02,3.425180198676028853e-01,2.715136543403773306e-01,1.490422888768492826e-01
4.790000000000000000e+02,3.201126106675825089e-01,2.775632394670962122e-01,1.533595933035398207e-01
4.800000000000000000e+02,2.983842506224040902e-01,2.834431350722981247e-01,1.576613358073030990e-01
4.810000000000000000e+02,2.774616293046015536e-01,2.891904659269211586e-01,1.619663222180723339e-01
4.820000000000000000e+02,2.574579722321663211e-01,2.948604486272643488e-01,1.663039162970794405e-01
4.830000000000000000e+02,2.384737991572889459e-01,3.005344422903460933e-01,1.707190358089325788e-01
4.840000000000000000e+02,2.205577430167560138e-01,3.062724704508040241e-01,1.752455951876429330e-01
4.850000000000000000e+02,2.037554708132233161e-01,3.121681515462880752e-01,1.799378006037743172e-01
4.860000000000000000e+02,1.880706247286524635e-01,3.182930844278361593e-01,1.848386314893265825e-01
4.870000000000000000e+02,1.734713976765265009e-01,3.246870419714769085e-01,1.899736926290777062e-01
4.880000000000000000e+02,1.599084337140030121e-01,3.313699425824935263e-01,1.953576097986951809e-01
4.890000000000000000e+02,1.473341455238555420e-01,3.383709024911951690e-01,2.010108587379188794e-01
4.900000000000000000e+02,1.356926507282423811e-01,3.457053145866482713e-01,2.069462572399030642e-01
4.910000000000000000e+02,1.249431897639197014e-01,3.534302491410689639e-01,2.132020749197778842e-01
4.920000000000000000e+02,1.150521096344909594e-01,3.616408685616981922e-01,2.198408238278500570e-01
4.930000000000000000e+02,1.059825672874866592e-01,3.704494581221066118e-01,2.269373234018164931e-01
4.940000000000000000e+02,9.769757997027035679e-02,3.799965650366929903e-01,2.345860072204082880e-01
4.950000000000000000e+02,9.015374364727815615e-02,3.904282321542734135e-01,2.428874565632923033e-01
4.960000000000000000e+02,8.329417763051485957e-02,4.018511274101977393e-01,2.519204254316455560e-01
4.970000000000000000e+02,7.703816404200732049e-02,4.142411100043958960e-01,2.616831467343747053e-01
4.980000000000000000e+02,7.129944359905965312e-02,4.274711577578217958e-01,2.721079460752542922e-01
4.990000000000000000e+02,6.601654811579965587e-02,4.414663658043982974e-01,2.831581387347720802e-01
5.000000000000000000e+02,6.112690118757864444e-02,4.560654285093517224e-01,2.947397462896320097e-01
5.010000000000000000e+02,5.658875877871504673e-02,4.711692311345631601e-01,3.067961310490365801e-01
5.020000000000000000e+02,5.237455634016392747e-02,4.867415301350512258e-01,3.193099467400715707e-01
5.030000000000000000e+02,4.846474915262958399e-02,5.027974004665860530e-01,3.322970389406253999e-01
5.040000000000000000e+02,4.484033694795486885e-02,5.193524210104907279e-01,3.457738755739488967e-01
5.050000000000000000e+02,4.148009693663581854e-02,5.363856285590282713e-01,3.597327261469485116e-01
5.060000000000000000e+02,3.836703429519640329e-02,5.539099917676910678e-01,3.741883919532703051e-01
5.070000000000000000e+02,3.548237922711149073e-02,5.718992780130432996e-01,3.891292890925464598e-01
5.080000000000000000e+02,3.280806757477366248e-02,5.903088539660366063e-01,4.045307658302202403e-01
5.090000000000000000e+02,3.032971381880833830e-02,6.091292935895317173e-01,4.203916744330833954e-01
5.100000000000000000e+02,2.803115770841689905e-02,6.282913363915042515e-01,4.366691968316489536e-01
5.110000000000000000e+02,2.589841354091822201e-02,6.477313619402704781e-01,4.533232414210267569e-01
5.120000000000000000e+02,2.391487437025778540e-02,6.672703520418324930e-01,4.702313143193604383e-01
5.130000000000000000e+02,2.206675051979445704e-02,6.867243839180119380e-01,4.872641593365286683e-01
5.140000000000000000e+02,2.034022169192302443e-02,7.058256429294991197e-01,5.042292517650039940e-01
5.150000000000000000e+02,1.872538989272708870e-02,7.243479033247470777e-01,5.209590578546356987e-01
5.160000000000000000e+02,1.721408966049363387e-02,7.420653865276579664e-01,5.372822874179551400e-01
5.170000000000000000e+02,1.580318604708245978e-02,7.589315478278612082e-01,5.531542434216316639e-01
5.180000000000000000e+02,1.449076673640772688e-02,7.749945763754045869e-01,5.685991668318319814e-01
5.190000000000000000e+02,1.327431992755947164e-02,7.903334996491073738e-01,5.836653447251919369e-01
5.200000000000000000e+02,1.214968116661761625e-02,8.049848665001528847e-01,5.983713642459507209e-01
5.210000000000000000e+02,1.111261041937015165e-02,8.190123391830289590e-01,6.127571617824405514e-01
5.220000000000000000e+02,1.015879740331354988e-02,8.325077017856464812e-01,6.268854456115239282e-01
5.230000000000000000e+02,9.283663976585990185e-03,8.455722402218889266e-01,6.408282766192414659e-01
5.240000000000000000e+02,8.482285188311405530e-03,8.582963028337162736e-01,6.546517254522294937e-01
5.250000000000000000e+02,7.749749787361102753e-03,8.707773610924407492e-01,6.684294907900034666e-01
5.260000000000000000e+02,7.081062905399812361e-03,8.830993001721990643e-01,6.822271010162553884e-01
5.270000000000000000e+02,6.469629601384275022e-03,8.951040028534921200e-01,6.959240237478055979e-01
5.280000000000000000e+02,5.909414554025440962e-03,9.065627576614659899e-01,7.093581654234454303e-01
5.290000000000000000e+02,5.395194799566471050e-03,9.169583791063274925e-01,7.223564364850871833e-01
5.300000000000000000e+02,4.922556259232888434e-03,9.266373919118735536e-01,7.347524810066042855e-01
5.310000000000000000e+02,4.487744297335757686e-03,9.354239227535875445e-01,7.463892550151738359e-01
5.320000000000000000e+02,4.088952682976480790e-03,9.434579636928736024e-01,7.573832804206241942e-01
5.330000000000000000e+02,3.723960766159003111e-03,9.502708868792720809e-01,7.678090509302791800e-01
5.340000000000000000e+02,3.391012395363740117e-03,9.564516819616993848e-01,7.778556740743319819e-01
5.350000000000000000e+02,3.087997596793062762e-03,9.621820696862669609e-01,7.876697155016331164e-01
5.360000000000000000e+02,2.812740442574683704e-03,9.676266479428322631e-01,7.973877863517142561e-01
5.370000000000000000e+02,2.562649078504713757e-03,9.727747545478317992e-01,8.070050103873098735e-01
5.380000000000000000e+02,2.335268815328465919e-03,9.775705260220984849e-01,8.164788632610964214e-01
5.390000000000000000e+02,2.128404676518492675e-03,9.819571158877676842e-01,8.257650441024120269e-01
5.400000000000000000e+02,1.940136529875683986e-03,9.858996010357491402e-01,8.348367701531190788e-01
5.410000000000000000e+02,1.768651188280641719e-03,9.893172764946369657e-01,8.436276096567183469e-01
5.420000000000000000e+02,1.612518912077461368e-03,9.922430652125050488e-01,8.521669239278985009e-01
5.430000000000000000e+02,1.470350851663240624e-03,9.946649875479472991e-01,8.604461271545609247e-01
5.440000000000000000e+02,1.340977124187666585e-03,9.966402774775093842e-01,8.685167095506817203e-01
5.450000000000000000e+02,1.223225680766141035e-03,9.981580509258154432e-01,8.763718683940178167e-01
5.460000000000000000e+02,1.116058979595134027e-03,9.992307052627191766e-01,8.840251376521703897e-01
5.470000000000000000e+02,1.018505684583995673e-03,9.998479973293372680e-01,8.914701874937059900e-01
5.480000000000000000e+02,9.296850884528948299e-04,1.000000000000000000e+00,8.987006329558517859e-01
